stage,fixture,arm,expected,observed,verdict,rcnt,fail,admitted,denied,route_hits,target_mismatch,note
S0,no route,grpc-dpumesh,serve,serve,PASS,8144,0,1,0,0,0,baseline for the surfaces scope
S1,timeout 10s,grpc-dpumesh,serve,serve,PASS,7783,0,1,0,7884,0,a generous timeout changes nothing
S2,timeout 1ms,grpc-dpumesh,refuse,refuse,PASS,8250,6,1,0,8356,0,shorter than the proxy's own request
S2v,the route timed requests out,grpc-dpumesh,fired,fired,PASS,,,,,,,REQUEST_TIMEOUT+=6
S3a,1-in-50 failures; no retry policy,grpc-dpumesh,refuse,refuse,PASS,6555,135,1,0,0,0,the failures reach the client
S3b,1-in-50 failures; retry limit 3,grpc-dpumesh,serve,serve,PASS,4220,0,1,0,0,0,the retry policy absorbs them
S3v,the route retried the failures,grpc-dpumesh,fired,fired,PASS,,,,,,,retry_requests+=88
S4,method POST,grpc-dpumesh,serve,serve,PASS,6754,0,1,0,6855,0,gRPC is POST
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,25098,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,6766,0,1,0,6866,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,refuse,PASS,0,24734,1,0,0,0,no rule matches
S8,GRPCRoute on the called method,grpc-dpumesh,serve,serve,PASS,6835,0,1,0,0,0,grpc.testing.BenchmarkService/UnaryCall
S9,GRPCRoute on another method,grpc-dpumesh,refuse,refuse,PASS,0,24353,1,0,0,0,no rule matches
S10,Server on the protocol-aware Service; no authorization,grpc-dpumesh,refuse,refuse,PASS,0,592,0,1028,0,0,deny by default
S11,AuthorizationPolicy targeting the GRPCRoute,grpc-dpumesh,serve,serve,PASS,6871,0,1,0,0,0,the route authorizes the caller
S12,the same policy naming another identity,grpc-dpumesh,refuse,refuse,PASS,0,133,0,266,0,0,negative control for route authorization
S13,a failing endpoint beside a healthy one,grpc-dpumesh,serve,serve,PASS,6657,3,2,0,0,0,the breaker ejects it and the client keeps serving
S13v,the breaker ejected the failing endpoint,grpc-dpumesh,ejected,ejected,PASS,,,,,,,healthy=6758 broken=3
S14,the failing endpoint withdrawn,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,6868,0,1,0,0,0,the only HTTP/1 workload in the tree
