stage,fixture,arm,expected,observed,verdict,rcnt,fail,admitted,denied,route_hits,target_mismatch,note
S0,no route,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S1,timeout 10s,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S2,timeout 1ms,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S2v,the route timed requests out,grpc-dpumesh,fired,silent,FAIL,,,,,,,REQUEST_TIMEOUT+=0
S3a,1-in-50 failures; no retry policy,grpc-dpumesh,refuse,refuse,PASS,6269,129,1,0,0,0,the failures reach the client
S3b,1-in-50 failures; retry limit 3,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S3v,the route retried the failures,grpc-dpumesh,fired,silent,FAIL,,,,,,,retry_requests+=0
S4,method POST,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,23066,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S7,header content-type: application/json,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S8,GRPCRoute on the called method,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S9,GRPCRoute on another method,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S10,Server on the protocol-aware Service; no authorization,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S11,AuthorizationPolicy targeting the GRPCRoute,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S12,the same policy naming another identity,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S13,a failing endpoint beside a healthy one,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S13v,the breaker ejected the failing endpoint,grpc-dpumesh,ejected,held,FAIL,,,,,,,healthy=0 broken=0
S14,the failing endpoint withdrawn,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,6818,0,1,0,0,0,the only HTTP/1 workload in the tree
