stage,fixture,arm,expected,observed,verdict,rcnt,fail,admitted,denied,route_hits,target_mismatch,note
S0,no route,grpc-dpumesh,serve,serve,PASS,6633,0,1,0,0,0,baseline for the surfaces scope
S1,timeout 10s,grpc-dpumesh,serve,serve,PASS,6511,0,1,0,6612,0,a generous timeout changes nothing
S2,timeout 1ms,grpc-dpumesh,refuse,refuse,PASS,6608,7,1,0,6715,0,shorter than the proxy's own request
S2v,the route timed requests out,grpc-dpumesh,fired,fired,PASS,,,,,,,REQUEST_TIMEOUT+=7
S3a,1-in-50 failures; no retry policy,grpc-dpumesh,refuse,refuse,PASS,6375,132,1,0,0,0,the failures reach the client
S3b,1-in-50 failures; retry limit 3,grpc-dpumesh,serve,serve,PASS,4194,0,1,0,0,0,the retry policy absorbs them
S3v,the route retried the failures,grpc-dpumesh,fired,fired,PASS,,,,,,,retry_requests+=87
S4,method POST,grpc-dpumesh,serve,serve,PASS,6233,0,1,0,6333,0,gRPC is POST
S5,method GET,grpc-dpumesh,refuse,refuse,PASS,0,23729,1,0,0,0,no rule matches
S6,header content-type: application/grpc,grpc-dpumesh,serve,serve,PASS,6323,0,1,0,6423,0,every gRPC request carries it
S7,header content-type: application/json,grpc-dpumesh,refuse,refuse,PASS,0,23102,1,0,0,0,no rule matches
S8,GRPCRoute on the called method,grpc-dpumesh,serve,serve,PASS,6648,0,1,0,0,0,grpc.testing.BenchmarkService/UnaryCall
S9,GRPCRoute on another method,grpc-dpumesh,refuse,refuse,PASS,0,23475,1,0,0,0,no rule matches
S10,Server on the protocol-aware Service; no authorization,grpc-dpumesh,refuse,refuse,PASS,0,114,0,228,0,0,deny by default
S11,AuthorizationPolicy targeting the GRPCRoute,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S12,the same policy naming another identity,grpc-dpumesh,refuse,error,FAIL,,,,,,,ERR connect failed on channel 0
S13,a failing endpoint beside a healthy one,grpc-dpumesh,serve,error,FAIL,,,,,,,ERR connect failed on channel 0
S13v,the breaker ejected the failing endpoint,grpc-dpumesh,ejected,held,FAIL,,,,,,,healthy=0 broken=0
S14,the failing endpoint withdrawn,grpc-dpumesh,serve,serve,PASS,6685,0,1,0,0,0,the Service is healthy again
S15,HTTP/1.1 request-response,http1,serve,serve,PASS,6785,0,1,0,0,0,the only HTTP/1 workload in the tree
